ID,Type,Situation,Question,Option_0,Option_1,Option_2,Option_3,Answer
14anb10,Empathy,"A person, who is 5'5"" and 138 lbs, works out regularly and can easily deadlift 200 lbs. During a restaurant visit, her boyfriend insisted she order a salad instead of a steak, claiming she needed to lose weight and was too ""buff."" He threatened to break up with her unless she started eating salads.",Why does the boyfriend ask the person to lose weight?,The boyfriend's fixation on salads and weight loss indicates he is worried about the person because she doesn't conform to societal beauty norms.,The lack of sensitivity and communication from the boyfriend may lead to conflict and strain in the relationship.,The person can influence her desired social outcomes by establishing boundaries and emphasizing respect and acceptance.,The boyfriend's sudden change in behavior indicates that his desire for the person to lose weight stems from his insecurities about her muscles.,3
14copu6,Empathy,"A person's boyfriend disapproves of her grooming habits, criticizing her for wearing makeup, getting her nails done, straightening her hair, and wearing perfume. Despite the fact that these practices were known before they started dating, he accuses her of being fake and disrespects her by calling her derogatory names.","Why does the boyfriend ask her to stop wearing makeup, getting her nails done, and straightening her hair?",The person's boyfriend's request to change her appearance may indicate controlling behavior.,"The person should have a conversation with her boyfriend to understand his reasons for asking her to stop wearing makeup, getting her nails done, and straightening her hair before assuming control or manipulation.",The person's boyfriend's requests could stem from genuine concerns about her self-expression and a desire for her to embrace her natural beauty.,The person's boyfriend is expressing his opinions and preferences on her appearance in a relationship that values open communication.,0
15kj54i,Empathy,"A person has been with his wife for 13 years and recently noticed that she prefers wearing a flashy ring given by her childhood friend rather than the wedding ring the person gave her. When questioned, the wife claimed it was due to concerns about losing the ring or forgetting to put it back on. However, during an anniversary party, the wife refused to wear the wedding ring, citing it not matching her outfit.",Why does the wife choose to wear her friend's ring instead of the wedding ring given by the person?,The wife chooses to wear her friend's ring instead of the wedding ring given by the person due to potential deeper underlying issues in their relationship.,"The friend's ring may hold emotional significance for the wife, representing a special bond or memory she values.",The wife may prefer her friend's ring over the wedding ring due to its design or style.,The person may feel hurt and insecure due to his wife's preference for the friend's ring over the wedding ring given by the person.,2
16l2bxv,Empathy,"A person's 6-year-old son found his dog dead at his father's house, and the grandfather isn't giving any answers to the child's inquiries about the dog's death. ",Why is the grandfather not providing any answers to the child about the dog's death? ,A lack of answers and uncertainty about explaining the dog's death to his 6-year-old has caused him to avoid discussing it. ,He is not providing any answers to the child about the dog's death because he does not understand the importance of addressing the child's questions and providing appropriate explanations. ,"He is possibly in shock or emotionally overwhelmed by the sudden loss of their family pet, which is why he is not providing any answers to the child about the dog's death. ","He may be hiding something, like neglect or possible foul play, which is why he is not providing any answers to the child about the dog's death.",3
15s4m0r,Empathy,"A person discovered that the man she is dating sent a holiday photo that contradicts his claim of attending a family wedding, as it includes a woman's makeup bag and hair products. ",Why would the man lie about being at a wedding?,The presence of hair products and a makeup bag in the photo may have caused the misunderstanding,The man may have lied about the wedding to hide the fact that he was with another woman,"The man may have made a mistake and confused the details of the photo, causing confusion about the woman's makeup and hair products","A person can maintain boundaries, assert needs, and make decisions based on emotional well-being",1
1755pn6,Empathy,"In a 10-year marriage, a person notices a recent behavior where the tie strings from his pajama pants keep disappearing. After he went out for work, only his wife and a pet cat were left at home, with no children. However, his wife denies involvement when questioned. ",Why is the wife cutting the strings off the person's pajama pants and denying it?,"The wife may be cutting the strings off the person's pajama pants and denying it due to emotional or psychological issues, and open communication and seeking professional help may be necessary.",Suggesting couples therapy and promoting open dialogue can assist the person in resolving the issue with his wife who denied cutting the strings off the pajama pants.,The wife may be asserting control in their relationship by cutting the strings off the person's pajama pants.,"The wife is not purposely cutting the strings off the person's pajama pants, and it is possible that the cat may be stealing and discarding them.",3
15qbhwb,Empathy,A 28-year-old woman has been married to her husband for nine years and they have children together. The husband has admitted to trying to make her break up with him for years and treats her poorly.,Why does the husband continue to stay in the relationship and treat the person disrespectfully instead of ending it if he is unhappy?,The husband's unhappiness in the relationship raises questions about why he chooses to stay and mistreat the person.,"The husband's conflicting emotions towards the person make it difficult for him to end the relationship despite his negative behavior, suggesting he may still have love or attachment.",The husband may be staying in the relationship and treating the person disrespectfully to avoid taking responsibility for the failed marriage and blame her instead.,"The husband continues to stay in the relationship and treat the person disrespectfully because he lacks clear boundaries, professional help or counseling, and a supportive network.",2
14ufi2z,Empathy,A person's boyfriend gave her a gift of $2500 on the anniversary of moving in together because he wants to ensure she never feel financially trapped in the relationship. He explains that he grew up with a mother who couldn't leave an abusive relationship due to financial constraints and wants to make the person feel safe. ,What kind of behavior is it for the boyfriend to give such a large monetary gift?,"The person should openly communicate their feelings and intentions for the future with the boyfriend, expressing gratitude for his large monetary gift and desire for financial security in the relationship.",The boyfriend's large monetary gift and expression of wanting the person to feel financially secure may actually result in them feeling obligated and indebted in the relationship.,"The boyfriend's behavior can be viewed as thoughtful and considerate, ensuring the person's independence and freedom of choice through a large monetary gift and expressing a desire for their financial security in the relationship.",The boyfriend's large monetary gift and expression of desire for financial safety indicate his intention for a balanced relationship.,2
15bvims,Empathy,"A person had a childhood girlfriend who said hurtful things during a college breakup. After moving on and getting married, the ex-girlfriend contacted the person with apologies and wanting to meet up. The person does not want to talk to the ex but wants to maintain a relationship with his sister, who is pressuring him to meet for closure and looks up to the ex as an 'older sister'.",Why is the person's sister so insistent on him giving his ex closure?,The person's sister is insistent on him giving his ex closure because the ex may want to apologize.,The person's sister is insistent on him giving his ex closure due to her belief in second chances.,The sister's insistence on the person giving his ex closure may be related to their shared history.,"The person's sister wants him to give his ex closure, despite his hesitation due to the lingering pain from the breakup.",2
16i8ozp,Empathy,"A 22-year-old woman (F22) has been dating her boyfriend (M22) for three months, and he has been respectful of her discomfort with physical touch. She recently allowed him to hug her while watching a movie, and afterward, she felt an unexpected and intense fatigue, describing it as feeling intoxicated or narcoleptic. The experience was not unpleasant, just different.",Why did this unusual reaction occur?,"A person's aversion to physical touch may have caused a surge of stress hormones during the hug, resulting in her feeling tired and overwhelmed.","The physical touch from her boyfriend may have triggered past trauma or anxiety, resulting in her feeling physically depleted and exhausted.",A person may have felt extremely tired and almost intoxicated after being hugged by her boyfriend due to the sense of comfort and contentment it brought.,Her extreme tiredness and almost intoxicated feeling after being hugged by her boyfriend may be due to an underlying physical or mental health issue triggered by the physical touch.,2
183lbwy,Empathy,"A person's boyfriend acts strangely in stores. He whispers, follows the person closely, acts annoyed when the person picks something out, only engages with attractive cashiers, has no opinions or preferences in the store, wears a grumpy expression, acts like doing the person a favor, and refuses to have conversations. However, he behaves normally at home and in the car.",Why does the boyfriend act this way in stores?,The boyfriend's communication issues and insecurities may be making him act strangely in stores.,"A person can get the boyfriend to stop acting that way in stores by improving clear verbal communication, active listening, and understanding each other's perspectives.","A person can get the boyfriend to stop acting this way in stores by setting boundaries, fostering open and respectful communication, and seeking compromises.","The boyfriend's lack of interest in stores may be due to his disengaged attitude, but involving him in decision-making and planning enjoyable activities can help improve his experience and potentially stop his behavior.",0
